iter	MultiClass
0	1.083876987
1	1.071407283
2	1.059196831
3	1.051473874
4	1.043182055
5	1.039107093
6	1.033419884
7	1.027687831
8	1.021409178
9	1.017912222
10	1.015129166
11	1.011706642
12	1.006948606
13	1.003418022
14	0.9971213042
15	0.9950629456
16	0.9900398581
17	0.987621319
18	0.984571942
19	0.9826524173
20	0.9789779914
21	0.9765677513
22	0.974029042
23	0.9697638488
24	0.966536562
25	0.9649860076
26	0.9633626174
27	0.961784876
28	0.9606026787
29	0.9583545646
30	0.9570448201
31	0.9555484032
32	0.9536418197
33	0.9518557735
34	0.9497439621
35	0.9476228786
36	0.9454716235
37	0.9438078355
38	0.9425672291
39	0.9409464664
40	0.9395879675
41	0.9380343531
42	0.9367977893
43	0.9352935296
44	0.9343307324
45	0.9318342536
46	0.9309110618
47	0.9296648751
48	0.9283886525
49	0.9271904131
50	0.9260012498
51	0.9247986908
52	0.9232336899
53	0.92246458
54	0.9214479234
55	0.9204136293
56	0.9189465767
57	0.9180310816
58	0.9175484911
59	0.9167371725
60	0.9159788115
61	0.9151324365
62	0.9139730005
63	0.9128241
64	0.9119657479
65	0.910834789
66	0.9104578542
67	0.9099273697
68	0.9090921014
69	0.9085294934
70	0.9074444859
71	0.9059833713
72	0.9054445482
73	0.9050106936
74	0.9041816221
75	0.9035593621
76	0.9026543567
77	0.9016294486
78	0.9013890167
79	0.9002897477
80	0.8988232484
81	0.8975783562
82	0.8969810388
83	0.8953818517
84	0.89444423
85	0.8937782371
86	0.8926988268
87	0.891839944
88	0.8915349765
89	0.8906604448
90	0.8899057086
91	0.8890694316
92	0.8883299705
93	0.8873449278
94	0.8859422817
95	0.8853800253
96	0.8843768017
97	0.8836368461
98	0.8826569681
99	0.8818886508
100	0.8812942854
101	0.8802276466
102	0.8789963636
103	0.8773093304
104	0.8757361041
105	0.8750723634
106	0.8742770701
107	0.8730778474
108	0.8720987129
109	0.8713972304
110	0.8706166
111	0.8695723524
112	0.86909076
113	0.8679307837
114	0.8670333264
115	0.8647449276
116	0.8634829595
117	0.862768916
118	0.8619557151
119	0.8608391312
120	0.8598320177
121	0.8583978275
122	0.8574940887
123	0.856477401
124	0.8556382464
125	0.8543184025
126	0.8534728171
127	0.8529659039
128	0.8516941758
129	0.8507527978
130	0.8496810779
131	0.8481353253
132	0.8470592632
133	0.8457457708
134	0.8442207431
135	0.8434641004
136	0.842603098
137	0.8419257022
138	0.8409241503
139	0.8401242588
140	0.8394941455
141	0.8389243837
142	0.8379174232
143	0.837086095
144	0.8362192017
145	0.8358121176
146	0.8351029621
147	0.8345916057
148	0.8336665534
149	0.8325265445
150	0.8318150166
151	0.8313631934
152	0.8306766673
153	0.8296751116
154	0.8282323008
155	0.8275021238
156	0.8270385601
157	0.8263725941
158	0.8256539772
159	0.8252027917
160	0.8242629592
161	0.8228116483
162	0.8219359912
163	0.8208408586
164	0.8199799173
165	0.8190667418
166	0.8186435483
167	0.8180782572
168	0.8175345535
169	0.8168990747
170	0.8160067672
171	0.8154894644
172	0.8149348972
173	0.8142061399
174	0.8134657179
175	0.8124469313
176	0.8118885769
177	0.8114616859
178	0.8109961386
179	0.8102199482
180	0.809269357
181	0.8082943962
182	0.8077353373
183	0.8069630669
184	0.8064955043
185	0.8055523963
186	0.8050773012
187	0.8046958099
188	0.8042444379
189	0.8035603239
190	0.8032810036
191	0.8027325396
192	0.8023363549
193	0.8019871578
194	0.8010248951
195	0.8000273398
196	0.7995063486
197	0.7988617232
198	0.7978016
199	0.7974279874
