iter	Passed	Remaining
0	713	142006
1	1234	122245
2	1770	116233
3	2329	114142
4	2898	113041
5	3687	119237
6	4582	126350
7	5457	130988
8	6206	131722
9	6712	127531
10	7249	124566
11	7799	122198
12	8347	120069
13	8866	117796
14	9396	115888
15	9901	113863
16	10420	112169
17	10946	110685
18	11466	109237
19	11997	107977
20	12523	106751
21	13046	105561
22	13582	104525
23	14127	103598
24	14677	102739
25	15181	101597
26	15745	100887
27	16395	100713
28	17269	101830
29	18138	102784
30	18963	103382
31	19525	102506
32	20042	101428
33	20573	100445
34	21112	99530
35	21646	98613
36	22199	97798
37	22746	96970
38	23259	96021
39	23787	95148
40	24302	94246
41	24815	93352
42	25342	92530
43	25913	91873
44	26414	90983
45	26931	90160
46	27431	89299
47	27937	88469
48	28450	87675
49	28952	86856
50	29669	86682
51	30590	87064
52	31409	87116
53	32179	87004
54	32822	86532
55	33374	85820
56	33886	85012
57	34431	84297
58	34924	83463
59	35439	82692
60	35940	81897
61	36462	81157
62	36963	80380
63	37545	79785
64	38054	79036
65	38558	78285
66	39065	77547
67	39589	76850
68	40135	76200
69	40652	75496
70	41146	74758
71	41682	74102
72	42185	73391
73	42930	73097
74	43890	73151
75	44730	72981
76	45477	72645
77	45968	71899
78	46486	71200
79	47001	70501
80	47516	69808
81	48019	69101
82	48529	68409
83	49025	67702
84	49538	67022
85	50029	66318
86	50539	65643
87	51043	64964
88	51550	64293
89	52048	63614
90	52567	62965
91	53060	62288
92	53575	61640
93	54106	61013
94	54629	60380
95	55117	59710
96	55805	59257
97	56665	58978
98	57478	58639
99	58263	58263
100	58866	57700
101	59353	57026
102	59885	56396
103	60386	55741
104	60893	55094
105	61378	54429
106	61896	53798
107	62394	53150
108	62950	52554
109	63473	51932
110	63982	51301
111	64501	50679
112	64984	50032
113	65510	49420
114	66011	48791
115	66602	48229
116	67132	47623
117	67647	47009
118	68185	46411
119	68826	45884
120	69702	45508
121	70648	45168
122	71453	44730
123	72001	44130
124	72523	43513
125	73088	42925
126	73593	42301
127	74105	41684
128	74680	41103
129	75217	40501
130	75766	39907
131	76316	39314
132	76840	38709
133	77364	38104
134	77941	37527
135	78467	36926
136	78975	36317
137	79466	35702
138	79967	35093
139	80461	34483
140	80968	33880
141	81500	33289
142	82304	32806
143	83143	32333
144	83944	31841
145	84631	31301
146	85122	30690
147	85624	30084
148	86184	29499
149	86765	28921
150	87261	28316
151	87792	27724
152	88285	27120
153	88860	26542
154	89390	25951
155	89890	25353
156	90376	24752
157	90873	24156
158	91370	23560
159	91883	22970
160	92374	22376
161	92942	21801
162	93496	21223
163	94023	20639
164	94611	20069
165	95494	19559
166	96323	19034
167	97101	18495
168	97740	17928
169	98298	17346
170	98824	16759
171	99338	16171
172	99833	15580
173	100363	14996
174	100892	14413
175	101439	13832
176	101942	13246
177	102446	12661
178	102953	12078
179	103527	11503
180	104061	10923
181	104624	10347
182	105118	9765
183	105655	9187
184	106146	8606
185	106705	8031
186	107199	7452
187	107790	6880
188	108636	6322
189	109432	5759
190	110201	5192
191	110894	4620
192	111385	4039
193	111895	3460
194	112405	2882
195	112952	2305
196	113453	1727
197	114028	1151
198	114567	575
199	115083	0
